municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 04:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 05:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 06:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 07:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 08:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 09:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 10:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 11:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 12:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 12:50:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 13:00:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 13:20:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 13:40:00.0;0,40
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 14:00:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 14:10:00.0;1,60
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 14:20:00.0;2,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 14:30:00.0;0,40
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 14:40:00.0;0,40
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 15:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 16:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 17:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 18:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 19:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 20:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 21:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 21:40:00.0;0,20
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 22:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-23 23:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-24 00:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-24 01:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-24 02:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-24 03:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-24 04:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-24 05:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-24 06:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-24 07:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-24 08:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-24 09:10:00.0;0,00
CODAJÁS;130130802A;AM;G2-130130802A;-3,83881;-62,059518;2025-12-24 09:40:00.0;0,20
